Company Name,Ticker,Previous Name & Ticker,Company Name,Ticker,Previous Name & Ticker,Change Date
Amentum Holdings Inc,AMTM,,Bath & Body Works Inc,BBWI,,"September 27, 2024"
Palantir Technologies Inc,PLTR,,American Airlines Group Inc,AAL,,"September 20, 2024"
Dell Technologies Inc,DELL,,Etsy Inc,ETSY,,"September 20, 2024"
Erie Indemnity Co,ERIE,,Bio-Rad Laboratories Inc,BIO,,"September 20, 2024"
KKR & Co Inc,KKR,,Robert Half Inc,RHI,,"June 21, 2024"
CrowdStrike Holdings Inc,CRWD,,Comerica Inc,CMA,,"June 21, 2024"
GoDaddy Inc,GDDY,,Illumina Inc,ILMN,,"June 21, 2024"
Vistra Corp,VST,,Pioneer Natural Resources Co,PXD,,"May 7, 2024"
-,-,,Dentsply Sirona Inc,XRAY,,"April 2, 2024"
-,-,, V.F. Corp,VFC,,"April 2, 2024"
GE Vernova Inc,GEV,,-,-,,"April 1, 2024"
Solventum Corp,SOLV,,-,-,,"March 29, 2024"
Deckers Outdoor Corp,DECK,,Zion Bancorp,ZION,,"March 15, 2024"
Super Micro Computer Inc,SMCI,,Whirlpool Corp,WHR,,"March 15, 2024"
Uber Technologies Inc,UBER,,Sealed Air Corp,SEE,,"December 15, 2023"
Jabil Inc,JBL,,Alaska Air Group Inc,ALK,,"December 15, 2023"
Builders FirstSource Inc,BLDR,,SolarEdge Technologies Inc,SEDG,,"December 15, 2023"
Lululemon Athletica Inc,LULU,,Activision Blizzard Inc,ATVI,,"October 17, 2023"
Hubbell Inc,HUBB,,Organon & Co,OGN,,"October 17, 2023"
-,-,,DXC Technology Co,DXC,,"October 2, 2023"
Veralto Corp,VLTO,,-,-,,"September 29, 2023"
Blackstone Inc,BX,,Lincoln National Corp,LNC,,"September 15, 2023"
Airbnb Inc,ABNB,,Newell Brands Inc,NWL,,"September 15, 2023"
Kenvue Inc,KVUE,,Advance Auto Parts Inc,AAP,,"August 24, 2023"
Palo Alto Networks Inc,PANW,,DISH Network Corp,DISH,,"June 19, 2023"
Axon Enterprise Inc,AXON,,First Republic Bank,FRC,,"May 3, 2023"
Fair Isaac & Co Inc,FICO,,Lumen Technologies Inc,LUMN,,"March 17, 2023"
Bunge Ltd,BG,,Signature Bank,SBNY,,"March 14, 2023"
Insulet Corp,PODD,,SVB Financial Group,SIVB,,"March 14, 2023"
-,-,,Vornado Realty Trust,VNO,,"January 4, 2023"
GE HealthCare Technologies Inc,GEHC,,-,-,,"January 3, 2023"
Steel Dynamics Inc,STLD,,Abiomed Inc,ABMD,,"December 21, 2022"
First Solar Inc,FSLR,,Fortune Brands Innovations Inc,FBIN,Fortune Brands Home & Security Inc (FBHS),"December 20, 2022"
-,-,,MasterBrand Inc,MBC,,"December 20, 2022"
MasterBrand Inc,MBC,,-,-,,"December 16, 2022"
Arch Capital Group Ltd,ACGL,,Twitter Inc,TWTR,,"October 31, 2022"
Targa Resources Corp,TRGP,,Nielsen Holdings plc,NLSN,,"October 11, 2022"
PG&E Corp,PCG,,Citrix Systems Inc,CTXS,,"September 30, 2022"
EQT Corp,EQT,,Duke Realty Corp,DRE,,"September 30, 2022"
CoStar Group Inc,CSGP,,PVH Corp,PVH,,"September 16, 2022"
Invitation Homes Inc,INVH,,PENN Entertainment Inc,PENN,,"September 16, 2022"
ON Semiconductor Corp,ON,,IPG Photonics Corp,IPGP,,"June 17, 2022"
Keurig Dr Pepper Inc,KDP,,Under Armour Inc Class C,UA,,"June 17, 2022"
-,-,,Under Armour Inc Class A,UA.A,,"June 17, 2022"
VICI Properties Inc,VICI,,Cerner Corp,CERN,,"June 7, 2022"
-,-,,Discovery Communications Inc Class C (Warner Bros. Discovery Inc),DISCK,Discovery Communications Inc Class C (Warner Bros. Discovery Inc),"April 11, 2022"
Camden Property Trust,CPT,,People's United Financial Inc,PBCT,,"April 1, 2022"
Molina Healthcare Inc,MOH,,-,-,,"March 1, 2022"
-,-,,IHS Markit Ltd,INFO,,"February 25, 2022"
Nordson Corp,NDSN,,Xilinx Inc,XLNX,,"February 14, 2022"
Constellation Energy Corp,CEG,,The Gap Inc,GPS,,"February 2, 2022"
Signature Bank,SBNY,,Leggett & Platt Inc,LEG,,"December 17, 2021"
SolarEdge Technologies Inc,SEDG,,Hanesbrands Inc,HBI,,"December 17, 2021"
FactSet Research Systems Inc,FDS,,The Western Union Co,WU,,"December 17, 2021"
EPAM Systems Inc,EPAM,,Kansas City Southern,KSU,,"December 13, 2021"
Match Group Inc,MTCH,,Perrigo Company plc,PRGO,,"September 17, 2021"
Dayforce Inc,DAY,Ceridian HCM Holding Inc (CDAY),Unum Group,UNM,,"September 17, 2021"
Brown & Brown Inc,BRO,,NOV Inc,NOV,,"September 17, 2021"
Bio-Techne Corp,TECH,,Maxim Integrated Products Inc,MXIM,,"August 27, 2021"
Moderna Inc,MRNA,,Alexion Pharmaceuticals Inc,ALXN,,"July 20, 2021"
-,-,,HollyFrontier Corp,HFC,,"June 3, 2021"
Organon & Co,OGN,,-,-,,"June 2, 2021"
Charles River Laboratories International Inc ,CRL,,FLIR Systems Inc,FLIR,,"May 13, 2021"
PTC Inc,PTC,,Varian Medical Systems Inc,VAR,,"April 19, 2021"
NXP Semiconductors NV,NXPI,,Flowserve Corp,FLS,,"March 19, 2021"
Penn National Gaming Inc,PENN,,SL Green Realty Corp,SLG,,"March 19, 2021"
Generac Holdings Inc,GNRC,,Xerox Holdings Corp,XRX,,"March 19, 2021"
Caesars Entertainment Inc,CZR,,Vontier Corp,VNT,,"March 19, 2021"
Monolithic Power Systems Inc,MPWR,,TechnipFMC plc,FTI,,"February 11, 2021"
Trimble Inc,TRMB,,Concho Resources Inc,CXO,,"January 20, 2021"
Enphase Energy Inc,ENPH,,Tiffany & Co,TIF,,"January 6, 2021"
Tesla Inc,TSLA,,Apartment Investment and Management Co,AIV,,"December 18, 2020"
-,-,,Noble Energy Inc,NBL,,"October 9, 2020"
Vontier Corp.,VNT,,-,-,,"October 8, 2020"
Pool Corp,POOL,,E*TRADE Financial Corp,ETFC,,"October 6, 2020"
Etsy Inc.,ETSY,,H&R Block Inc,HRB,,"September 18, 2020"
Teradyne Inc,TER,,Coty Inc,COTY,,"September 18, 2020"
Catalent Inc,CTLT,,Kohl's Corp,KSS,,"September 18, 2020"
Tyler Technologies Inc,TYL,,Harley-Davidson Inc,HOG,,"June 19, 2020"
Bio-Rad Laboratories Inc,BIO,,Nordstrom Inc,JWN,,"June 19, 2020"
Teledyne Technologies Inc,TDY,,Alliance Data Systems Corp,ADS,,"June 19, 2020"
West Pharmaceutical Services Inc,WST,,Helmerich & Payne Inc,HP,,"May 21, 2020"
DexCom Inc,DXCM,,Allergan plc,AGN,,"May 11, 2020"
Domino's Pizza Inc,DPZ,,Capri Holdings Ltd,CPRI,,"May 11, 2020"
-,-,,Macy’s Inc,M,,"April 5, 2020"
-,-,,Raytheon Co. (Old),RTN,,"April 5, 2020"
Carrier Global Corp,CARR,,-,-,,"April 2, 2020"
Otis Worldwide Corp,OTIS,,-,-,,"April 2, 2020"
Ingersoll Rand Inc,IR,Gardner Denver Holdings Inc (GDI),Cimarex Energy Co,XEC,,"March 2, 2020"
Paycom Software Inc,PAYC,,WellCare Health Plans Inc,WCG,,"January 27, 2020"
STERIS plc,STE,,The Macerich Co,MAC,,"December 20, 2019"
Zebra Technologies Corp,ZBRA,,TripAdvisor Inc,TRIP,,"December 20, 2019"
Live Nation Entertainment Inc,LYV,,Affiliated Managers Group Inc,AMG,,"December 20, 2019"
Old Dominion Freight Line Inc,ODFL,,SunTrust Banks Inc,STI,,"December 6, 2019"
W. R. Berkley Corp,WRB,,Viacom Inc.,VIAB,,"December 4, 2019"
ServiceNow Inc,NOW,,Celgene Corp,CELG,,"November 20, 2019"
Las Vegas Sands Corp,LVS,,Nektar Therapeutics,NKTR,,"October 2, 2019"
NVR Inc,NVR,,Jefferies Financial Group Inc,JEF,,"September 25, 2019"
CDW Corp,CDW,,Total System Services Inc,TSS,,"September 20, 2019"
Leidos Holdings Inc,LDOS,,Anadarko Petroleum Corp,APC,,"August 8, 2019"
IDEX Corp,IEX,,Foot Locker Inc.,FL,,"August 8, 2019"
T-Mobile US Inc,TMUS,,Red Hat Inc.,RHT,,"July 12, 2019"
MarketAxess Holdings Inc,MKTX,,L3 Technologies Inc,LLL,,"June 28, 2019"
Amcor plc,AMCR,,Mattel Inc.,MAT,,"June 6, 2019"
Corteva Inc.,CTVA,,Fluor Corp,FLR,,"May 31, 2019"
-,-,,Brighthouse Financial Inc,BHF,,"April 2, 2019"
Dow Inc,DOW,,-,-,,"April 1, 2019"
Fox Corp Class A,FOXA,,Twenty-First Century Fox Inc Class A,FOXA (Old),,"March 19, 2019"
Fox Corp Class B,FOX,,Twenty-First Century Fox Inc Class B,FOX (Old),,"March 19, 2019"
Wabtec Corp,WAB,,The Goodyear Tire & Rubber Co,GT,,"February 26, 2019"
Atmos Energy Corp,ATO,,Newfield Exploration Co,NFX,,"February 14, 2019"
Teleflex Inc,TFX,,PG&E Corp,PCG,,"January 17, 2019"
First Republic Bank,FRC,,SCANA Corp.,SCG,,"December 31, 2018"
Celanese Corp,CE,,Express Scripts Holding Co,ESRX,,"December 21, 2018"
Diamondback Energy Inc,FANG,,Stericycle Inc.,SRCL,,"November 30, 2018"
Maxim Integrated Products Inc,MXIM,,Aetna Inc.,AET,,"November 30, 2018"
Lamb Weston Holdings Inc,LW,,Rockwell Collins Inc,COL,,"November 30, 2018"
Jack Henry & Associates Inc,JKHY,,EQT Corp,EQT,,"November 12, 2018"
Keysight Technologies Inc,KEYS,,CA Inc,CA,,"November 5, 2018"
Fortinet Inc,FTNT,,Envision Healthcare Holdings Inc,EVHC,,"October 10, 2018"
Rollins Inc,ROL,,Andeavor,ANDV,,"September 28, 2018"
WellCare Health Plans Inc,WCG,,XL Group Ltd,XL,,"September 14, 2018"
Arista Networks Inc,ANET,,GGP Inc,GGP,General Growth Properties Inc (GGP),"August 27, 2018"
Copart Inc,CPRT,,Dr Pepper Snapple Group Inc,DPS,,"June 29, 2018"
Corpay Inc,CPAY,FleetCor Technologies Inc (FLT),Time Warner Inc.,TWX,,"June 19, 2018"
HollyFrontier Corp,HFC,,Acuity Brands Inc,AYI,,"June 15, 2018"
Broadridge Financial Solutions Inc,BR,,Range Resources Corp.,RRC,,"June 15, 2018"
Twitter Inc,TWTR,,Monsanto Co.,MON,,"June 6, 2018"
Evergy Inc,EVRG,,Navient Corp,NAVI,,"June 4, 2018"
ABIOMED Inc,ABMD,,Wyndham Destinations Inc,WYND,Wyndham Worldwide Corp (WYN),"May 30, 2018"
MSCI Inc,MSCI,,CSRA Inc,CSRA,,"April 3, 2018"
Take-Two Interactive Software Inc.,TTWO,,Signet Jewelers Ltd,SIG,,"March 18, 2018"
SVB Financial Group,SIVB,,Patterson Companies,PDCO,,"March 18, 2018"
Nektar Therapeutics,NKTR,,Chesapeake Energy Corp,CHK,,"March 18, 2018"
IPG Photonics Corp,IPGP,,Scripps Networks Interactive Inc,SNI,,"March 6, 2018"
Huntington Ingalls Industries Inc.,HII,,-,-,,"January 2, 2018"
-,-,,C. R. Bard Inc,BCR,,"December 28, 2017"
Norwegian Cruise Line Holdings Ltd,NCLH,,Level 3 Comm's Inc,LVLT,,"October 12, 2017"
Cadence Design Systems Inc,CDNS,,Staples Inc.,SPLS,,"September 17, 2017"
SBA Comm's Corp,SBAC,,DuPont Co (Old),DD (Old),,"August 31, 2017"
IQVIA Holdings Inc,IQV,QuintilesIMS (Q),Whole Foods Market Inc,WFM,,"August 28, 2017"
-,-,,AutoNation Inc.,AN,,"August 7, 2017"
Brighthouse Financial Inc,BHF,,-,-,,"August 6, 2017"
MGM Resorts International,MGM,,Reynolds American Inc.,RAI,,"July 25, 2017"
ResMed Inc.,RMD,,Mallinckrodt plc,MNK,,"July 25, 2017"
Packaging Corp of America,PKG,,Murphy Oil Corp,MUR,,"July 25, 2017"
A. O. Smith Corp,AOS,,Bed Bath & Beyond Inc,BBBY,,"July 25, 2017"
Duke Realty,DRE,,Transocean Ltd,RIG,,"July 25, 2017"
Everest Group Ltd,EG,Everest Re Group Ltd (RE),Mead Johnson Nutrition Co,MJN,,"June 18, 2017"
Hilton Worldwide Holdings Inc.,HLT,Hilton Hotels Corp (HLT),Yahoo! Inc,YHOO,,"June 18, 2017"
Align Technology Inc.,ALGN,,Teradata Corp.,TDC,,"June 18, 2017"
ANSYS Inc.,ANSS,,Ryder System Inc,R,,"June 18, 2017"
IHS Markit Ltd.,INFO,,TEGNA Inc,TGNA,,"June 1, 2017"
Gartner Inc,IT,,Dun & Bradstreet Corp,DNB,,"April 4, 2017"
DXC Technology,DXC,,Southwestern Energy Co,SWN,,"April 3, 2017"
Advanced Micro Devices Inc,AMD,,Urban Outfitters Inc,URBN,,"March 19, 2017"
Raymond James Financial Inc,RJF,,Frontier Comm's Corp,FTR,,"March 19, 2017"
Alexandria Real Estate Equities,ARE,,First Solar Inc,FSLR,,"March 19, 2017"
Synopsys Inc,SNPS,,Harman Int'l Industries Inc,HAR,,"March 15, 2017"
DISH Network Corp,DISH,,Linear Technology Corp.,LLTC,,"March 12, 2017"
Regency Centers,REG,,Endo Int'l plc,ENDP,,"March 1, 2017"
CBOE Holdings Inc,CBOE,,Pitney Bowes Inc,PBI,,"February 28, 2017"
Incyte Corp,INCY,,Spectra Energy Corp.,SE,,"February 27, 2017"
IDEXX Laboratories Inc,IDXX,,St. Jude Medical Inc,STJ,,"January 4, 2017"
Mid-America Apartment Communities,MAA,,Owens-Illinois Inc.,OI,,"December 1, 2016"
Envision Healthcare Holdings Inc,EVHC,,Legg Mason Inc,LM,,"December 1, 2016"
Howmet Aerospace Inc,HWM,Arconic Inc (ARNC),Alcoa Inc,AA,,"November 1, 2016"
Coty Inc,COTY,,Diamond Offshore Drilling Inc,DO,,"September 30, 2016"
The Cooper Companies Inc,COO,,Starwood Hotels & Resorts Worldwide Inc,HOT,,"September 22, 2016"
Charter Communications Inc,CHTR,,EMC Corp.,EMC,,"September 7, 2016"
Mettler-Toledo Int'l Inc,MTD,,Johnson Controls (Old),JCI (Old),,"September 2, 2016"
-,-,,Columbia Pipeline Group Inc.,CPGX,,"July 5, 2016"
Fortive Corp,FTV,,-,-,,"July 1, 2016"
Alliant Energy Corp,LNT,,AGL Resources Inc.,GAS,,"June 30, 2016"
Albemarle Corp,ALB,,TECO Energy Inc,TE,,"June 30, 2016"
Fortune Brands Innovations Inc,FBIN,Fortune Brands Home & Security Inc (FBHS),Cablevision Systems Corp.,RMG,,"June 23, 2016"
TransDigm Group,TDG,,Baxalta,BXLT,,"June 2, 2016"
Arthur J. Gallagher & Co,AJG,,Coca-Cola European Partners plc,CCE,,"May 27, 2016"
LKQ Corp,LKQ,,Airgas Inc.,ARG,,"May 20, 2016"
Digital Realty Trust,DLR,,Time Warner Cable Inc.,TWC,,"May 17, 2016"
Alaska Air Group,ALK,,SanDisk Corp,SNDK,,"May 12, 2016"
Acuity Brands Inc,AYI,,ADT Corp.,ADT,,"May 2, 2016"
Global Payments Inc,GPN,,GameStop Corp.,GME,,"April 22, 2016"
Ulta Salon Cosmetics & Fragrance Inc,ULTA,,Tenet Healthcare Corp.,THC,,"April 15, 2016"
Under Armour Inc Class C,UA,,-,-,,"April 14, 2016"
Foot Locker Inc.,FL,,Cameron International Corp,CAM,,"April 1, 2016"
Hologic Inc,HOLX,,Pepco Holdings Inc.,POM,,"March 29, 2016"
Centene Corp,CNC,,Valaris plc,VAL,Ensco plc (ESV),"March 29, 2016"
UDR Inc,UDR,,Keurig Green Mountain Inc,GMCR,,"March 4, 2016"
American Water Works Inc,AWK,,Consol Energy Inc.,CNX,,"March 3, 2016"
Concho Resources Inc,CXO,,Plum Creek Timber Company,PCL,,"February 19, 2016"
Citizens Financial Group Inc,CFG,,Precision Castparts Corp,PCP,,"January 29, 2016"
Federal Realty Investment Trust,FRT,,Broadcom Corp.,BRCM,,"January 29, 2016"
Extra Space Storage Inc,EXR,,Chubb Corp. (Old),CB (Old),,"January 15, 2016"
Willis Towers Watson plc,WTW,Willis Towers Watson (WLTW),Fossil Group,FOSL,,"January 4, 2016"
Church & Dwight Co Inc,CHD,,Altera Corp.,ALTR (Alt),,"December 28, 2015"
-,-,,Comcast Class A Spec.,CMCSK,,"December 11, 2015"
CSRA Inc,CSRA,,Computer Sciences Corp.,CSC,,"November 30, 2015"
Illumina Inc,ILMN,,Sigma-Aldrich Corp.,SIAL,,"November 18, 2015"
Synchrony Financial,SYF,,Genworth Financial Inc.,GNW,,"November 17, 2015"
Hewlett Packard Enterprise Co,HPE,,Hudson City Bancorp Inc,HCBK,,"November 2, 2015"
Verisk Analytics Inc,VRSK,,Joy Global Inc.,JOY,,"October 7, 2015"
Comcast Class A Spec.,CMCSK,,-,-,,"September 18, 2015"
Twenty-First Century Fox Inc Class B,FOX (Old),,-,-,,"September 18, 2015"
News Corp Class B,NWS,,-,-,,"September 18, 2015"
United Continental Holdings Inc,UAL,,Hospira Inc.,HSP,,"September 2, 2015"
Activision Blizzard Inc,ATVI,Activision Inc (ATVI),Pall Corp.,PLL,,"August 28, 2015"
Signet Jewelers Ltd,SIG,"Signet Group plc (SIGY), Ratners Group plc (RATNY)",DirecTV,DTV,,"July 28, 2015"
PayPal Holdings Inc.,PYPL,,Noble Corp plc,NE,,"July 17, 2015"
Advance Auto Parts Inc,AAP,,Family Dollar Stores Inc,FDO,,"July 8, 2015"
Columbia Pipeline Group Inc.,CPGX,,Allegheny Technologies Inc.,ATI,"Allegheny Teledyne Inc. (ALT), Teledyne Inc. (TDY)","July 1, 2015"
J. B. Hunt Transport Services Inc.,JBHT,,Integrys Energy Group,TEG,"WPS Resources Corp (WPS), Wisconsin Public Service Corp (WPS)","June 30, 2015"
Baxalta,BXLT,,QEP Resources Inc,QEP,,"June 30, 2015"
Qorvo Inc,QRVO,,Lorillard Inc.,LO,,"June 11, 2015"
Realty Income Corp,O,,Windstream Holdings Inc,WIN,,"April 6, 2015"
American Airlines Group Inc,AAL,,Allergan Inc. (Old),AGN (Old),,"March 20, 2015"
Equinix Inc,EQIX,,Denbury Resources Inc.,DNR,,"March 20, 2015"
SL Green Realty,SLG,,Nabors Industries Ltd,NBR,,"March 20, 2015"
Hanesbrands Inc,HBI,,Avon Products Inc,AVP,,"March 20, 2015"
Henry Schein Inc,HSIC,,CareFusion Corp,CFN,,"March 17, 2015"
Skyworks Solutions Inc.,SWKS,,PetSmart Inc,PETM,,"March 11, 2015"
HCA Holdings Inc,HCA,,Safeway Inc.,SWY,,"January 26, 2015"
Endo Int'l plc,ENDP,Endo Health Solutions Inc (ENDP),Covidien Plc,COV,,"January 26, 2015"
Royal Caribbean Cruises Ltd,RCL,,Bemis Company Inc,BMS,,"December 4, 2014"
Level 3 Comm's Inc,LVLT,,Jabil Inc,JBL,,"November 4, 2014"
United Rentals Inc,URI,,Peabody Energy Corp,BTU,,"September 19, 2014"
Universal Health Services Inc,UHS,,Graham Holdings Co,GHC,WPO Washington Post Co. (WPO),"September 19, 2014"
Mallinckrodt plc,MNK,,Rowan Companies plc,RDC,,"August 18, 2014"
Discovery Communications Inc Class C (Warner Bros. Discovery Inc),DISCK,Note: All classes of shares of Discovery common stock were be converted and reclassified into a single share class line of newly named Warner Bros Discovery Inc (WBD).,-,-,,"August 6, 2014"
Martin Marietta Materials Inc,MLM,,United States Steel Corp,X,,"July 1, 2014"
Affiliated Managers Group Inc,AMG,,Forest Laboratories Inc,FRX,,"June 30, 2014"
Cimarex Energy Co,XEC,,International Game Technology plc (Old),IGT (Old),,"June 20, 2014"
Broadcom Ltd,AVGO,Avago Technologies (AVGO),LSI Corp,LSI (LSI),,"May 7, 2014"
Under Armour Inc Class A,UA.A,,Beam Suntory Inc,BEAM (Sun),"Fortune Brands Inc (FO), American Brands (AMB), American Tobacco (AT)","April 30, 2014"
Navient Corp,NAVI,,SLM Corp.,SLM,"USA Education Inc (SLM), Student Loan Marketing Asociation (SLMA)","May 1, 2014"
Alphabet Inc. Class C,GOOG,,-,-,,"April 3, 2014"
Essex Property Trust,ESS,,Cleveland-Cliffs Inc,CLF,,"April 1, 2014"
Keurig Green Mountain Inc,GMCR,,WPX Energy Inc,WPX,,"March 21, 2014"
Tractor Supply Co.,TSCO,,Life Technologies Corp,LIFE (Tech),,"January 23, 2014"
