Ticker,Company Name,ISIN Code
A,Agilent Technologies Inc.,US00846U1016
AA,Alcoa Inc,US0138171014
AAL,American Airlines Group Inc,US02376R1023
AAP,Advance Auto Parts Inc,US00751Y1064
AAPL,Apple Inc.,US0378331005
ABBV,AbbVie Inc.,US00287Y1091
COR,Cencora Inc,US03073E1055
ABI,Applied Biosystems Inc.,US0381491002
AMBC,Ambac Financial Group Inc.,US0231398845
ABS,Albertson's Inc.,US0131041040
ABT,Abbott Laboratories,US0028241000
ABX,Barrick Gold Corp.,CA0679011084
ACAS,American Capital Ltd,US02503Y1038
ACKH,Armstrong Holding Inc,US0423841073
ACN,Accenture plc,IE00B4BNMY34
ACS,Affiliated Computer Services,US0081901003
ACV,Alberto-Culver Co.,US0130781000
ADBE,Adobe Systems Inc.,US00724F1012
ADCT,ADC Telecommunications Inc,US0008863096
ADI,Analog Devices Inc.,US0326541051
ADM,Archer-Daniels-Midland Co.,US0394831020
ADP,Automatic Data Processing Inc,US0530151036
SXCL,Steel Excel Inc,US8581222036
ADS,Alliance Data Systems Corp.,US0185811082
ADSK,Autodesk Inc.,US0527691069
ADT,ADT Corp.,US00101J1060
AEE,Ameren Corp.,US0236081024
AEP,American Electric Power Company Inc,US0255371017
AES,AES Corp.,US00130H1059
AET,Aetna Inc.,US00817Y1082
AFL,AFLAC Inc.,US0010551028
AFS.A,Associates First Capital Corp,US0460081088
AGC,American General Insurance Co,US0263511067
AGN,Allergan plc,IE00BY9D5467
AGN (Old),Allergan Inc. (Old),US0184901025
AIG,AIG Inc.,US0268747849
AIV,Aimco,US03748R7540
AIZ,Assurant Inc.,US04621X1081
AJG,Arthur J. Gallagher & Co,US3635761097
AKAM,Akamai Technologies Inc.,US00971T1016
AKS,AK Steel Holding Corp.,US0015471081
AL (Alc),Alcan Inc.,CA0137161059
ALB,Albemarle Corp,US0126531013
ALK,Alaska Air Group,US0116591092
ALL,Allstate Corp.,US0200021014
ALLE,Allegion Plc,IE00BFRT3W74
ALTR (Alt),Altera Corp.,US0214411003
ALXN,Alexion Pharmaceuticals Inc,US0153511094
AM,American Greetings Corp,US0263751051
AMAT,Applied Materials Inc.,US0382221051
AMCC,Applied Micro Circuits Corp.,US03822W4069
AMD,Advanced Micro Devices Inc,US0079031078
AME,AMETEK Inc,US0311001004
AMG,Affiliated Managers Group Inc,US0082521081
AMGN,Amgen Inc.,US0311621009
AMP,Ameriprise Financial Inc,US03076C1062
AMR (AMR),AMR Corp.,US0017651060
AMT,American Tower Corp.,US03027X1000
AMZN,Amazon.com Inc.,US0231351067
AN,AutoNation Inc.,US05329W1027
ANDW,Andrew Corp.,US0344251089
ANF,Abercrombie & Fitch Co,US0028962076
ANR,Alpha Natural Resources Inc,US02076X1028
ELV,Elevance Health Inc,US0367521038
AON,Aon plc,IE00BLP1HW54
APA,Apache Corp,US03743Q1085
APC,Anadarko Petroleum Corp.,US0325111070
APCC,American Power Conversion Corp,US0290661075
APD,Air Products & Chemicals Inc,US0091581068
APH,Amphenol Corp.,US0320951017
APOL,Apollo Education Group,US0376041051
ARC (Atl),Atlantic Richfield Co,US0488251036
ARG,Airgas Inc.,US0093631028
HWM,Howmet Aerospace Inc,US4432011082
ASH,Ashland Global Holdings Inc,US0441861046
ASN,Archstone-Smith Trust,US0395831094
ASO,AmSouth Bancorp,US0321651020
AT (All),Alltel Corp,US0200391037
ATI,Allegheny Technologies Inc.,US01741R1023
ATVI,Activision Blizzard Inc,US00507V1098
AV,Avaya Inc.,US0534991098
AVB,AvalonBay Communities,US0534841012
AVGO,Broadcom Ltd,US11135F1012
AVP,Avon Products Inc,US0543031027
AVY,Avery Dennison Corp,US0536111091
AW,Allied Waste Industries Inc.,US0195893088
AWE,AT&T Wireless,US00209A1060
AWK,American Water Works Inc,US0304201033
AXP,American Express Co,US0258161092
AYE,Allegheny Energy Inc.,US0173611064
AYI,Acuity Brands Inc,US00508Y1029
AZA.A,ALZA Corp.,US0226151084
AZO,AutoZone Inc,US0533321024
BA,Boeing Co.,US0970231058
BAC,Bank of America Corp.,US0605051046
BAX,Baxter International Inc.,US0718131099
BBBY,Bed Bath & Beyond Inc,US0758961009
TFC,Truist Financial Corp,US89832Q1094
BBY,Best Buy Co. Inc.,US0865161014
BC,Brunswick Corp.,US1170431092
BCR,C. R. Bard Inc,US0673831097
BDK,Black & Decker Manufacturing,US0917971006
BDX,Becton Dickinson & Co,US0758871091
BEAM (Sun),Beam Suntory Inc,US0737301038
BEN,Franklin Resources Inc,US3546131018
BF.B,Brown-Forman Corp.,US1156372096
BFO,BestFoods,US08658U1016
BGEN,Biogen NV,US0905971059
BGG,Briggs & Stratton Corp,US1090431099
BKR,Baker Hughes Co,US05722G1004
BIG,Big Lots Inc.,US0893021032
BIIB,Biogen Idec Inc,US09062X1037
BJS,BJ Services Co.,US0554821035
BK,Bank of New York Mellon Corp,US0640581007
BLK,BlackRock Inc,US09247X1019
BALL,Ball Corp,US0584981064
BLS,BellSouth Corp.,US0798601029
BMC,BMC Software Inc,US0556071050
BMET,Biomet Inc.,US0906131000
BMS,Bemis Company Inc,US0814371052
BMY,Bristol-Myers Squibb Co,US1101221083
BNI,Burlington Northern Santa Fe Corp,US12189T1043
BOL,Bausch & Lomb Inc.,US0717071031
BR (OLD),Burlington Resources,US1220141030
BRCM,Broadcom Corp.,US1113201073
BRK.B,Berkshire Hathaway Inc,US0846707026
