Change Date,Ticker
2000-01-03,NCR
2000-01-05,YNR
2000-01-28,CNXT
2000-01-28,HOG
2000-01-28,BGEN
2000-03-15,TSG
2000-03-31,LLTC
2000-03-31,VRTS (Veri)
2000-04-17,ALTR (Alt)
2000-05-04,SAPE
2000-05-04,SEBL
2000-05-09,MXIM
2000-05-31,APCC
2000-06-02,A
2000-06-07,SBUX
2000-06-12,CVG
2000-06-15,MEDI
2000-06-16,NVLS (Nove)
2000-06-16,CF (Char)
2000-06-20,TIF
2000-06-20,SANM
2000-06-28,VC
2000-06-28,MERQ
2000-06-30,BRCM
2000-07-05,Q (Qwe)
2000-07-12,JNS
2000-07-14,CIT
2000-07-26,VIAV
2000-07-27,PALM
2000-08-18,KSE
2000-08-29,DVN
2000-09-29,AV
2000-10-02,DYN
2000-10-02,MCO
2000-10-02,KG
2000-10-17,NBR
2000-10-20,PWER
2000-11-01,EOG
2000-11-01,NI
2000-11-03,BVSN
2000-11-16,HOT
2000-11-21,FRX
2000-11-22,CHIR
2000-11-30,CPN
2000-12-04,RHI
2000-12-08,INTU
2000-12-08,MET
2000-12-08,SBL
2000-12-08,AMBC
2000-12-08,AYE
2000-12-11,KMI
2000-12-11,QLGC
2000-12-11,SYK
2000-12-11,VTSS
2000-12-21,FLR
2000-12-29,AMCC
2001-01-12,NE
2001-01-29,JBL
2001-02-06,UVN
2001-02-26,FTR
2001-02-28,CTAS
2001-03-30,FI
2001-03-30,CE (Con)
2001-04-02,GEN (Gen)
2001-05-11,PBG
2001-06-01,MWW
2001-06-22,ZION
2001-06-27,JHF
2001-06-29,COL
2001-07-06,AWE
2001-08-02,PMCS
2001-08-03,FDO
2001-08-06,ZBH
2001-08-29,CIEN
2001-08-29,COR
2001-08-31,IGT (Old)
2001-08-31,XL
2001-09-20,IMNX
2001-10-09,TE
2001-10-09,EOP
2001-11-06,HMA
2001-11-29,NVDA
2001-11-30,EQR
2001-12-13,GENZ
2001-12-14,JNY
2001-12-31,WAT
2002-01-16,PCL
2002-01-29,CB
2002-01-31,RATL
2002-02-08,MI
2002-05-03,FHN
2002-05-10,TT (Tra)
2002-05-14,BJS
2002-05-14,APOL
2002-06-25,SPG
2002-07-16,NFB
2002-07-19,SDS
2002-07-19,PFG
2002-07-19,EBAY
2002-07-19,PRU
2002-07-19,GS
2002-07-19,UPS
2002-07-19,EA
2002-07-24,ELV
2002-08-13,MON
2002-08-20,TAP.B
2002-09-03,RAI
2002-11-18,CMCSA
2002-12-11,DGX
2003-02-21,AN
2003-03-13,AIV
2003-03-20,MKC
2003-03-28,GEN
2003-04-15,FHI
2003-07-16,PLD
2003-08-19,MHS
2003-09-25,ESRX
2003-11-12,BIIB
2004-02-26,MTB
2004-03-24,CMX
2004-03-31,ETFC
2004-04-01,ACS
2004-04-22,VTRS
2004-04-28,VLO
2004-04-30,HSP
2004-06-30,SOV
2004-06-30,GILD
2004-08-02,FSH
2004-08-31,TPR
2004-10-26,CIT
2004-10-29,LH
2004-11-30,LLL
2004-12-02,FSLB
2004-12-17,CBSS
2004-12-17,FOXA (Old)
2004-12-17,ASN
2004-12-28,XTO
2005-03-11,NOV
2005-03-24,SHLD
2005-07-01,STZ
2005-07-01,DHI
2005-07-21,WFT
2005-08-10,TSN
2005-08-11,VNO
2005-08-12,MUR
2005-08-18,PSA
2005-08-29,CVH
2005-09-30,AMP
2005-10-03,LEN
2005-10-10,PDCO
2005-11-18,AMZN
2005-12-01,GNW
2005-12-19,SSP
2005-12-30,WFM
2005-12-30,VIAB
2006-01-04,EL
2006-01-31,HAR
2006-01-31,VRSN
2006-02-24,BRL
2006-03-02,CHK
2006-03-31,GOOGL
2006-03-31,BXP
2006-03-31,KIM
2006-03-31,DF
2006-04-19,SNDK
2006-04-21,LM
2006-05-17,EQ (Emb)
2006-06-01,JNPR
2006-06-05,CBH
2006-06-27,CNX
2006-07-17,WIN
2006-07-31,RLGY
2006-07-31,WYND
2006-08-10,CME
2006-09-29,WU
2006-09-29,SII
2006-11-03,CELG
2006-11-09,FIS
2006-11-09,CBRE
2006-11-16,CTSH
2006-11-17,BTU
2006-11-30,STR
2006-11-30,IAC
2006-12-01,DTV
2006-12-19,TEX
2006-12-29,SE
2007-01-03,VAL
2007-01-09,AVB
2007-02-01,RL
2007-02-09,VAR
2007-02-14,HCBK
2007-02-21,TEG
2007-03-01,CHRW
2007-03-19,HST
2007-03-22,SITC
2007-03-28,ANF
2007-03-30,MDLZ
2007-04-09,AIZ
2007-05-30,SUNEQ
2007-05-31,PCP
2007-06-29,COV
2007-06-29,TEL
2007-06-29,GGP
2007-06-29,DFS
2007-07-06,ACAS
2007-07-11,AKAM
2007-08-24,JEF
2007-09-07,MCHP
2007-09-25,ICE
2007-09-26,ANDV
2007-09-28,TDC
2007-10-01,EXPE
2007-10-05,NBL
2007-10-09,EXPD
2007-10-24,NYX
2007-10-25,J
2007-10-26,TIE
2007-11-08,POM
2007-11-15,MTW
2007-11-16,AMT
2007-12-13,GME
2007-12-20,RRC
2007-12-28,GHC
2007-12-31,TSS
2008-01-28,CAM
2008-03-28,PM
2008-03-28,DOC
2008-06-02,ISRG
2008-06-06,SWN
2008-06-10,LO
2008-06-20,CTRA
2008-06-20,MEE
2008-06-30,AKS
2008-06-30,SNI
2008-07-17,MA
2008-07-30,DVA
2008-08-20,IVZ
2008-08-26,CF
2008-09-12,CRM
2008-09-12,FAST
2008-09-19,LHX
2008-09-23,PXD
2008-09-29,APH
2008-10-01,FLS
2008-10-03,DPS
2008-10-21,NDAQ
2008-10-30,WEC
2008-11-05,SJM
2008-11-12,PBCT
2008-11-13,WYNN
2008-11-13,XRAY
2008-11-14,CEPH
2008-11-18,SRCL
2008-11-21,LIFE (Tech)
2008-12-01,DNB
2008-12-04,RSG
2008-12-18,EQT
2008-12-22,MFE
2008-12-31,FLIR
2008-12-31,SCG
2008-12-31,OI
2009-01-05,IRM
2009-01-29,WELL
2009-02-25,DO
2009-03-03,HRL
2009-03-03,VTR
2009-03-16,ES
2009-03-26,ORLY
2009-03-27,TWC
2009-04-01,DNR
2009-06-04,FTI
2009-06-08,ATGE
2009-06-29,TMUS
2009-06-30,WDC
2009-06-30,PWR
2009-07-24,RHT
2009-08-18,FMC
2009-08-31,CFN
2009-09-08,ARG
2009-10-15,FSLR
2009-11-03,BKNG
2009-12-18,ROST
2009-12-18,CLF
2009-12-18,MJN
2009-12-18,V
2009-12-18,LDOS
2009-12-22,ROP
2010-01-27,NRG
2010-02-05,URBN
2010-02-12,BRK.B
2010-02-26,HP
2010-02-26,WBD
2010-03-12,OKE
2010-04-29,CERN
2010-06-28,KMX
2010-06-30,QEP
2010-07-14,CB
2010-08-26,JCI
2010-11-16,TT
2010-12-17,NFX
2010-12-17,NFLX
2010-12-17,FFIV
2010-12-17,RMG
2011-01-03,MMI (Mot)
2011-01-14,NE
2011-02-25,JOY
2011-02-28,COV
2011-03-31,EW
2011-04-01,BLK
2011-04-27,CMG
2011-06-01,ANR
2011-06-30,MPC
2011-07-05,ACN
2011-09-23,MOS
2011-10-14,TEL
2011-10-31,XYL
