Change Date,Ticker
2000-01-05,NLV
2000-01-28,FWLT
2000-01-28,FLE
2000-01-28,CNG
2000-03-15,SCI
2000-03-31,PNU
2000-03-31,PBY
2000-04-17,ARC (Atl)
2000-05-04,RLM
2000-05-04,CBS (Old)
2000-05-09,JOS
2000-05-31,MIR (M. R.)
2000-06-02,NC
2000-06-07,SMS
2000-06-12,TMC.A
2000-06-15,UMG
2000-06-15,CSR
2000-06-16,CHA
2000-06-20,SGI (Old)
2000-06-20,WLA
2000-06-28,IKN
2000-06-28,MZ
2000-06-30,GTE (GTE)
2000-07-05,USW
2000-07-12,KSU
2000-07-14,UPR
2000-07-26,RAD
2000-07-27,COMS
2000-08-18,NCE
2000-08-29,GAP
2000-09-29,OC
2000-10-02,BFO
2000-10-02,DNB
2000-10-02,YNR
2000-10-17,MKG
2000-10-20,UCM
2000-11-01,EFU
2000-11-01,CG
2000-11-03,PWJ
2000-11-16,ACKH
2000-11-21,SEG
2000-11-22,FJ
2000-11-30,FPC
2000-12-01,AFS.A
2000-12-08,OI
2000-12-08,VO
2000-12-08,GRA
2000-12-08,CCK
2000-12-08,BS
2000-12-11,NGH
2000-12-11,PRD
2000-12-11,RML
2000-12-11,SMI
2000-12-21,MEE
2000-12-29,JPM (Old)
2001-01-12,TWX (Old)
2001-01-29,CGP
2001-02-06,UK
2001-02-26,USB (FBS)
2001-02-28,SUB
2001-03-30,OK
2001-03-30,CEN
2001-04-02,BGG
2001-05-11,SXCL
2001-06-01,CIT
2001-06-22,AZA.A
2001-06-27,H (Har)
2001-06-29,LDG
2001-07-06,PCH
2001-08-02,OAT
2001-08-03,ETS
2001-08-06,TKR
2001-08-29,OKE
2001-08-29,AGC
2001-08-31,WB (Old)
2001-08-31,BVSN
2001-09-17,TOS
2001-10-09,GLBC (Glob)
2001-10-09,TX
2001-11-06,GPU
2001-11-29,ENRNQ
2001-11-30,NSI
2001-12-12,RAL
2001-12-14,HM
2001-12-31,FMC
2002-01-16,KM
2002-01-29,MEA
2002-01-31,NMK
2002-02-08,WLL (Wil)
2002-05-03,CPQ
2002-05-10,SAPE
2002-05-14,WCOM
2002-05-14,U
2002-06-25,CNXT
2002-07-16,IMNX
2002-07-19,ABX
2002-07-19,AL (Alc)
2002-07-19,NT
2002-07-19,UN
2002-07-19,RD
2002-07-19,PDG
2002-07-19,N (Inc)
2002-07-24,CNO
2002-08-13,PALM
2002-08-20,VTSS
2002-08-30,COC.B
2002-11-18,CMCSK (Old)
2002-12-11,TRW (TRW)
2003-02-21,RATL
2003-03-13,AMR (AMR)
2003-03-20,EHC
2003-03-28,HI (Hou)
2003-04-15,PHA
2003-07-16,GEN (Gen)
2003-08-19,MDR
2003-09-25,QTRN
2003-11-12,BGEN
