timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-10-31,79.29,80.5,79.23,79.91,79.91,13607868,0.0000,1.0
2024-10-30,79.59,79.74,78.95,79.09,79.09,10455300,0.0000,1.0
2024-10-29,80.11,80.12,79.26,79.28,79.28,13866515,0.0000,1.0
2024-10-28,80.81,81.42,80.62,81.01,81.01,7311432,0.0000,1.0
2024-10-25,82.0,82.07,80.32,80.38,80.38,8759470,0.0000,1.0
2024-10-24,82.13,82.3,81.315,81.59,81.59,6546133,0.0000,1.0
2024-10-23,81.4,82.15,81.25,82.12,82.12,9822523,0.0000,1.0
2024-10-22,81.08,81.51,80.695,81.34,81.34,8559632,0.0000,1.0
2024-10-21,82.14,82.3799,81.3051,81.63,81.63,7405753,0.0000,1.0
2024-10-18,81.41,81.99,81.05,81.95,81.95,7017589,0.0000,1.0
2024-10-17,82.48,82.5,81.42,81.48,81.48,11763584,0.0000,1.0
2024-10-16,81.01,82.37,80.645,82.21,82.21,9549792,0.0000,1.0
2024-10-15,80.6,81.2,80.515,80.61,80.61,13213843,0.0000,1.0
2024-10-14,79.37,80.32,79.22,80.25,80.25,9020881,0.0000,1.0
2024-10-11,78.3,79.25,78.05,79.25,79.25,9666336,0.0000,1.0
2024-10-10,78.88,79.5,78.52,78.56,78.56,13163308,0.0000,1.0
2024-10-09,79.26,79.5,78.35,78.8,78.8,17143998,0.0000,1.0
2024-10-08,79.79,80.035,79.47,79.48,79.48,13011055,0.0000,1.0
2024-10-07,81.04,81.09,79.2285,79.44,79.44,17641983,0.0000,1.0
2024-10-04,80.74,81.4,80.48,81.31,81.31,12542578,0.0000,1.0
2024-10-03,81.92,82.055,81.24,81.44,81.44,12102836,0.0000,1.0
2024-10-02,80.91,81.62,80.77,81.47,81.47,8245766,0.0000,1.0
2024-10-01,80.69,81.545,80.2,81.43,81.43,12181193,0.0000,1.0
2024-09-30,80.58,80.83,79.86,80.78,80.78,9508674,0.0000,1.0
2024-09-27,79.96,80.635,79.88,80.42,80.42,7401955,0.0000,1.0
2024-09-26,80.03,80.38,79.41,79.63,79.63,9897261,0.0000,1.0
2024-09-25,80.2,80.42,79.48,80.18,80.18,8179586,0.0000,1.0
2024-09-24,79.88,80.77,79.59,79.76,79.76,14052553,0.0000,1.0
2024-09-23,80.03,80.4,79.74,80.33,80.33,11670259,0.5395,1.0
2024-09-20,79.0,80.25,78.89,80.08,79.5457807163508,22139638,0.0000,1.0
2024-09-19,78.2,78.38,77.38,78.02,77.4995231205006,20768237,0.0000,1.0
2024-09-18,78.94,79.16,78.1427,78.48,77.9564544283118,23517387,0.0000,1.0
2024-09-17,79.18,79.375,78.82,79.08,78.5524517863264,13981481,0.0000,1.0
2024-09-16,78.79,79.36,78.58,79.14,78.6120515221279,9955253,0.0000,1.0
2024-09-13,77.71,78.5591,77.41,78.54,78.0160541641133,8119434,0.0000,1.0
2024-09-12,77.45,77.585,76.97,77.45,76.9333256303867,9667869,0.0000,1.0
2024-09-11,77.05,77.355,76.15,77.28,76.7644597122826,10383496,0.0000,1.0
2024-09-10,76.82,77.365,76.56,77.04,76.5260607690767,11627726,0.0000,1.0
2024-09-09,76.24,76.69,75.8,76.68,76.168462354268,7183093,0.0000,1.0
2024-09-06,76.81,76.97,75.9,75.91,75.4035990781492,9803072,0.0000,1.0
2024-09-05,77.41,77.51,76.41,76.64,76.128729197067,7772695,0.0000,1.0
2024-09-04,76.55,77.405,76.45,76.83,76.3174616937716,13593204,0.0000,1.0
2024-09-03,76.31,76.73,75.94,76.18,75.6717978892558,11813492,0.0000,1.0
2024-08-30,75.86,76.4,75.58,76.29,75.7810640715585,8503877,0.0000,1.0
2024-08-29,75.56,75.79,74.82,75.72,75.2148665814446,6379149,0.0000,1.0
2024-08-28,75.54,75.955,75.25,75.31,74.8076017201346,5241370,0.0000,1.0
2024-08-27,75.75,76.02,75.275,75.31,74.8076017201346,8333396,0.0000,1.0
2024-08-26,75.68,76.2169,75.665,75.91,75.4035990781492,6668153,0.0000,1.0
2024-08-23,75.47,75.78,75.2,75.42,74.9168679024373,7525204,0.0000,1.0
2024-08-22,75.38,75.54,74.905,75.21,74.7082688271321,7323967,0.0000,1.0
2024-08-21,74.88,75.53,74.78,75.3,74.7976684308343,6725932,0.0000,1.0
2024-08-20,74.93,75.18,74.69,74.77,74.2712040979214,7994998,0.0000,1.0
2024-08-19,74.51,74.98,74.45,74.93,74.4301367267253,5752690,0.0000,1.0
2024-08-16,74.19,74.695,73.87,74.44,73.9434055510134,6761385,0.0000,1.0
2024-08-15,73.69,74.3259,73.445,74.11,73.6156070041054,9403828,0.0000,1.0
2024-08-14,74.0,74.56,73.57,74.12,73.6255402934056,8082974,0.0000,1.0
2024-08-13,74.05,74.24,73.725,74.17,73.6752067399068,8537480,0.0000,1.0
2024-08-12,73.63,73.7701,73.19,73.74,73.2480752999963,7513563,0.0000,1.0
2024-08-09,73.54,73.71,72.345,73.61,73.1189425390932,8354267,0.0000,1.0
2024-08-08,73.0,73.805,72.79,73.36,72.8706103065871,11680159,0.0000,1.0
2024-08-07,73.47,74.135,73.0,73.28,72.7911439921851,12379399,0.0000,1.0
2024-08-06,72.54,73.71,72.49,72.87,72.3838791308751,14643231,0.0000,1.0
2024-08-05,74.61,74.61,72.18,72.26,71.7779484835603,20549937,0.0000,1.0
2024-08-02,75.04,75.56,73.205,74.22,73.724873186408,24128595,0.0000,1.0
2024-08-01,72.93,74.2,72.84,74.1,73.6056737148051,16283731,0.0000,1.0
2024-07-31,72.87,72.95,72.09,72.79,72.3044128164732,10882674,0.0000,1.0
2024-07-30,71.41,71.92,71.26,71.86,71.3806169115505,8348198,0.0000,1.0
2024-07-29,71.44,71.72,70.86,71.49,71.0130852074415,7575600,0.0000,1.0
2024-07-26,71.04,71.31,70.775,71.17,70.6952199498337,8353301,0.0000,1.0
2024-07-25,71.4,71.78,70.18,70.48,70.0098229881169,13332979,0.0000,1.0
2024-07-24,70.78,71.349,70.35,71.07,70.5958870568313,12642356,0.0000,1.0
2024-07-23,70.58,70.711,70.23,70.28,69.8111572021121,6343339,0.0000,1.0
2024-07-22,70.5,70.88,70.26,70.72,70.2482219313228,6482719,0.0000,1.0
2024-07-19,70.18,70.345,69.71,70.13,69.6621578626084,6492727,0.0000,1.0
